,Y
2013-01-01,-259.8640246377437
2013-01-02,695.8038494489213
2013-01-03,25.50657751357907
2013-01-04,-474.44706737564303
2013-01-05,450.3900565587408
2013-01-06,2579.5994164496983
2013-01-07,897.8365436386925
2013-01-08,-136.4694308884659
2013-01-09,850.8917190339024
2013-01-10,-38.13343884449811
2013-01-11,-537.8103060652236
2013-01-12,551.0912255374992
2013-01-13,2659.8376689528086
2013-01-14,806.978421895405
2013-01-15,-369.4550836097437
2013-01-16,955.8468046664298
2013-01-17,-235.17633166318012
2013-01-18,-693.2742980603264
2013-01-19,800.1129924037396
2013-01-20,3055.1474794171995
2013-01-21,762.2607318835953
2013-01-22,-445.11579876837624
2013-01-23,1047.1691265504064
2013-01-24,-240.75230471667538
2013-01-25,-959.470959572207
2013-01-26,723.8741606362995
2013-01-27,3119.1366481121154
2013-01-28,533.8553045809915
2013-01-29,-538.817700113386
2013-01-30,1254.5740154192351
2013-01-31,-389.5992773848391
2013-02-01,-1283.030784135434
2013-02-02,848.4326244706648
2013-02-03,2777.887701647582
2013-02-04,766.804377422316
2013-02-05,-183.15537311876602
2013-02-06,1329.9921019517092
2013-02-07,-542.4672510958048
2013-02-08,-1435.723595832525
2013-02-09,934.1618857425724
2013-02-10,3075.3591143569874
2013-02-11,780.5299283867392
2013-02-12,72.83229592529436
2013-02-13,1269.2592803578875
2013-02-14,-410.44554178133274
2013-02-15,-1458.7106693251037
2013-02-16,761.8651525291335
2013-02-17,3181.2446134543234
2013-02-18,1042.4057344728749
2013-02-19,279.2124126653712
2013-02-20,1438.999577072921
2013-02-21,-235.72030921287543
2013-02-22,-1724.2026634433626
2013-02-23,928.937975821235
2013-02-24,3169.722602566776
2013-02-25,1250.8468738436611
2013-02-26,281.8568748034722
2013-02-27,1533.4501602809182
2013-02-28,6.90697729744123
2013-03-01,-1505.5825949062287
2013-03-02,551.9775634719596
2013-03-03,2775.4332590260287
2013-03-04,1461.0652175818855
2013-03-05,227.33755227551455
2013-03-06,1841.9040588182158
2013-03-07,227.2471361274472
2013-03-08,-1580.1217764862483
2013-03-09,679.8509021970691
2013-03-10,2302.5826116003213
2013-03-11,1406.8113676997832
2013-03-12,-229.26715148439922
2013-03-13,1679.7496409721941
2013-03-14,441.4294667137771
2013-03-15,-1594.3691393285942
2013-03-16,547.7934361277889
2013-03-17,1814.114380848165
2013-03-18,1207.1034480893609
2013-03-19,-341.2606930515907
2013-03-20,1418.2246381070186
2013-03-21,513.4083496800424
2013-03-22,-1844.9409294225254
2013-03-23,246.70940038441972
2013-03-24,1617.6769775775251
2013-03-25,1278.833245542072
2013-03-26,-261.9397122456534
2013-03-27,1270.937970283074
2013-03-28,811.6384669170684
2013-03-29,-1690.3663043229838
2013-03-30,335.5973218845467
2013-03-31,1391.4944828047605
